DSM ID (monitor C code),Proposed SMAX canonical name,Confidence,Alternatives / notes (if not HIGH),Verified,C source file(s) (cursesmonitor/src),Display JSON file(s)
DSM_AS_PROJECT_ID_L,DSM:hal9000:DSM_AS_PROJECT_ID_L,HIGH,"C-code verified at projectpage.c:39 (also arrayMonitor.c:328, hangarPage.c:70).",x,arrayMonitor.c; hangarPage.c; projectpage.c,arraymonitor.json; hangar.json; project.json
DSM_AS_PROJECT_OBSERVER_C30,DSM:hal9000:DSM_AS_PROJECT_OBSERVER_C30,HIGH,C-code verified at projectpage.c:44.,x,arrayMonitor.c; hangarPage.c; projectpage.c,arraymonitor.json; hangar.json; project.json
DSM_AS_PROJECT_OPERATINGLOCATION_C256,DSM:hal9000:DSM_AS_PROJECT_OPERATINGLOCATION_C256,HIGH,C-code verified at projectpage.c:50.,x,arrayMonitor.c; projectpage.c,arraymonitor.json; project.json
DSM_SCANS_REMAINING,DSM:hal9000:DSM_AS_SCANS_REMAINING_L,HIGH,"C-code verified at arrayMonitor.c:1200, node hcn (label "" SWARM "" scan-source context).",x,arrayMonitor.c,arraymonitor.json
(no C-code read found — placeholder DSM_FULLPOL_STATUS was invented; grep of arrayMonitor.c/SMA-Software tree finds no FULLPOL/FULLPOLL identifier anywhere),(no match found),NO MATCH,"Reconfirmed: no full-polarization status field found in DSM/RM at all, live or in source. May need to check ""polar"" fields DSM_AS_POLAR_MODE_S / DSM_OBS_POLAR_MODE_S under hal9000 as loose candidates if such a mode exists",,arrayMonitor.c,arraymonitor.json
(no C-code read found — placeholder DSM_SWARM_STATUS was invented; arrayMonitor.c never reads this literal string),(no match found),NO MATCH,"arrayMonitor.c:1242 does read a real SWARM_SCAN_X structure (node roach2-01, label "" SWARM "" at :1257) — that's per-board scan progress (length/progress ticks), not an overall status flag. No single composite SWARM status field exists live or in source",,arrayMonitor.c,arraymonitor.json
"RM_POLAR_DUT_SEC_D (rmRead, arrayMonitor.c:418; placeholder was DSM_DUT — not a real C identifier)",RM:acc{ant}:RM_POLAR_DUT_SEC_D,HIGH,"Corrected from NO MATCH: arrayMonitor.c:418 reads RM_POLAR_DUT_SEC_D via rmRead(specialAntenna,...) for the ""DUT"" label. Confirmed live for all 9 antennas as RM:acc{ant}:RM_POLAR_DUT_SEC_D (RM_* fields use a bare RM: prefix per antenna, never a DSM: node — see wacko_validity_review.md). Sibling polar fields also live: RM_POLAR_DX_ARCSEC_D, RM_POLAR_DY_ARCSEC_D, RM_POLAR_MJD_L",,arrayMonitor.c,arraymonitor.json
DSM_TAU225,DSM:colossus:DSM_CSO_225GHZ_TAU_F,MEDIUM,Alternative: weather:forecast:cso:tau225 (forecast value) vs this raw CSO feed — pick which source is intended C-code verified at arrayMonitor.c:406.,,arrayMonitor.c,arraymonitor.json
DSM_TAU350,DSM:colossus:DSM_CSO_350MICRON_TAU_SCALED_F,HIGH,C-code verified at arrayMonitor.c:407 / weather.c:1654.,x,arrayMonitor.c; weather.c; weatherPage2.c,arraymonitor.json; weather.json
"DSM_BDC_CR1_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_4_8.c:153, label ""CR1 (4-8)l DETECTOR RDBK (V)"")",DSM:obscon:BDC48_X:DSM_BDC_CR1_DETECTOR_READBACK_V8_F,HIGH,"C-code verified: read at BDC_4_8.c:153. Node/struct confirmed live: dsm_read(""obscon"",""BDC48_X"",...) at BDC_4_8.c:83",,BDC_4_8.c,bdc.json
"DSM_BDC_CR2_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_4_8.c:158, label ""CR2 (4-8)h DETECTOR RDBK (V)"")",DSM:obscon:BDC48_X:DSM_BDC_CR2_DETECTOR_READBACK_V8_F,HIGH,C-code verified: read at BDC_4_8.c:158,,BDC_4_8.c,bdc.json
"DSM_BDC_VVA1_CTRL_READBACK_V8_F (dsmGetElement, BDC_4_8.c:93, label ""VVA1 (4-8)l CONTROL RDBK (V)"")",DSM:obscon:BDC48_X:DSM_BDC_VVA1_CTRL_READBACK_V8_F,HIGH,"C-code verified: read at BDC_4_8.c:93. Sibling channel VVA2 (4-8)h at :98; this chassis has 6 VVA channels (VVA1-6) covering 3 sub-bands, unlike the 8-12/10-12 chassis which use 2 (AR1/AR2)",,BDC_4_8.c,bdc.json
(no C-code read found — placeholder DSM_BDC_4_8_ATTN was invented),(no match found),NO MATCH,"Reconfirmed: BDC_4_8.c has no ATTN-named field at all (only VVA1-6, CR1-6, TEMP_V2_V8_F, DI_V8_B, TIMESTAMP_C15) — this chassis uses VVA (variable voltage attenuator) channels instead of separate ATTEN1/2 fields like the 8-12/10-12 GHz chassis",,BDC_4_8.c,bdc.json
"DSM_BDC_AR1_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_8_12.c:152, label ""VGA1 DETECTOR RDBK (V)"")",DSM:obscon:BDC_X:DSM_BDC_AR1_DETECTOR_READBACK_V8_F,HIGH,"C-code verified: read at BDC_8_12.c:152. Node/struct confirmed live: dsm_read(""obscon"",""BDC_X"",...) at BDC_8_12.c:82 — BDC_X is confirmed the 8-12 GHz chassis by this file's own dsm_read call, not by elimination",,BDC_8_12.c,bdc.json
"DSM_BDC_AR2_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_8_12.c:157, label ""VGA2 DETECTOR RDBK (V)"")",DSM:obscon:BDC_X:DSM_BDC_AR2_DETECTOR_READBACK_V8_F,HIGH,C-code verified: read at BDC_8_12.c:157,,BDC_8_12.c,bdc.json
"DSM_BDC_AR1_CTRL_READBACK_V8_F (dsmGetElement, BDC_8_12.c:112, label ""VGA1 CONTROL RDBK (V)""; placeholder was DSM_BDC_8_12_VGA)",DSM:obscon:BDC_X:DSM_BDC_AR1_CTRL_READBACK_V8_F,HIGH,"Corrected from NO MATCH: BDC_8_12.c's curses labels literally read ""VGA1""/""VGA2"" for the AR1/AR2 control-readback fields (:112,:117) — the previous conclusion that BDC_X ""has no VGA field"" was wrong; AR1/AR2 *are* the VGA fields, just named AR in the DSM schema. AR2 (VGA2) is the sibling channel",,BDC_8_12.c,bdc.json
"DSM_BDC_AT20_CTRL_READBACK_V8_F (dsmGetElement, BDC_8_12.c:122, label ""ATTEN1 CONTROL RDBK (V)""; placeholder was DSM_BDC_8_12_ATTN)",DSM:obscon:BDC_X:DSM_BDC_AT20_CTRL_READBACK_V8_F,HIGH,"Corrected: the previous proposal (AR1_CTRL_READBACK_V8_F) was actually the VGA field, not ATTN — see the VGA row above. The real ""ATTEN1 CONTROL RDBK"" label reads AT20_CTRL_READBACK_V8_F (:122); AT21_CTRL_READBACK_V8_F (:127) is the ATTEN2 sibling",,BDC_8_12.c,bdc.json
"DSM_BDC_AR1_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_10_12.c:156, label ""VGA1 DETECTOR RDBK (V)"")",DSM:obscon:BDC1012_X:DSM_BDC_AR1_DETECTOR_READBACK_V8_F,HIGH,C-code verified: read at BDC_10_12.c:156. Node/struct confirmed: dsm_read(obscon BDC1012_X) at :86,,BDC_10_12.c,bdc.json
"DSM_BDC_AR2_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_10_12.c:161, label ""VGA2 DETECTOR RDBK (V)"")",DSM:obscon:BDC1012_X:DSM_BDC_AR2_DETECTOR_READBACK_V8_F,HIGH,C-code verified: read at BDC_10_12.c:161,,BDC_10_12.c,bdc.json
"DSM_BDC_AT20_CTRL_READBACK_V8_F (dsmGetElement, BDC_10_12.c:126, label ""ATTEN1 CONTROL RDBK (V)""; placeholder was DSM_BDC_10_12_ATTN)",DSM:obscon:BDC1012_X:DSM_BDC_AT20_CTRL_READBACK_V8_F,HIGH,"Corrected: same AR-vs-AT mislabeling as the 8-12 GHz chassis. BDC_10_12.c's ""VGA1/VGA2"" labels (:116,:121) read AR1/AR2_CTRL_READBACK_V8_F; ""ATTEN1/ATTEN2"" labels (:126,:131) read AT20/AT21_CTRL_READBACK_V8_F. The previous AR1 proposal here was actually the VGA field",,BDC_10_12.c,bdc.json
"DSM_BDC_CR1_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_12_16.c:153, label ""CR1 (12-16)l DET RDBK (V)"")",DSM:obscon:BDC1216_X:DSM_BDC_CR1_DETECTOR_READBACK_V8_F,HIGH,C-code verified: read at BDC_12_16.c:153. Node/struct confirmed: dsm_read(obscon BDC1216_X) at :83,,BDC_12_16.c,bdc.json
"DSM_BDC_CR2_DETECTOR_READBACK_V8_F (dsmGetElement, BDC_12_16.c:158, label ""CR2 (12-16)h DET RDBK (V)"")",DSM:obscon:BDC1216_X:DSM_BDC_CR2_DETECTOR_READBACK_V8_F,HIGH,C-code verified: read at BDC_12_16.c:158,,BDC_12_16.c,bdc.json
"DSM_BDC_VVA1_CTRL_READBACK_V8_F (dsmGetElement, BDC_12_16.c:93, label ""VVA1 (12-16)l CTL RDBK (V)"")",DSM:obscon:BDC1216_X:DSM_BDC_VVA1_CTRL_READBACK_V8_F,HIGH,"C-code verified: read at BDC_12_16.c:93. Like the 4-8 GHz chassis, this one has 6 VVA channels (VVA1-6), no ATTEN fields",,BDC_12_16.c,bdc.json
(no C-code read found — placeholder DSM_BDC_12_16_ATTN was invented),(no match found),NO MATCH,"Reconfirmed: no ATTN-named field in BDC1216_X (only VVA1-6, CR1-6, TEMP_V2_V8_F [dead/commented], DI_V8_B, TIMESTAMP_C15)",,BDC_12_16.c,bdc.json
"AMP_V11_V11_V2_F (dsmGetElement, coherence.c:177, from LAST_SCAN_VISIBILITES_X structure read via dsmRead(""hcn"",...) at :123)",DSM:hcn:LAST_SCAN_VISIBILITES_X:AMP_V11_V11_V2_F,HIGH,"Corrected: the earlier proposal (phasemon:PHASEMON_DATA_X:CORR_AMPLITUDE_V10_D) is the wrong subsystem — that's the 12 GHz phase-monitor delay-tracking amplitude (per-baseline, V10), not this per-scan visibility amplitude that coherence.c actually reads (per-antenna-pair, V11xV11, Rx A/H split as AMP_V11_V11_V2_F/AMP_H_V11_V11_V2_F). AMP_H_V11_V11_V2_F is the Rx B/H-pol sibling",,coherence.c,coherence.json
"PHASE_V11_V11_V2_F (exists in the same LAST_SCAN_VISIBILITES_X structure coherence.c already reads via dsmRead(""hcn"",...) at :123, but not itself pulled out with dsmGetElement in this file)",DSM:hcn:LAST_SCAN_VISIBILITES_X:PHASE_V11_V11_V2_F,MEDIUM,"Corrected: the earlier proposal (phasemon:PHASEMON_DATA_X:RAW_PHASE_V10_D) is the wrong subsystem, same reasoning as Fringe Amplitude above. PHASE_V11_V11_V2_F is confirmed live in the same struct as AMP/CORR, but coherence.c doesn't currently extract it with dsmGetElement — held at MEDIUM rather than HIGH for that reason. PHASE_H_V11_V11_V2_F is the Rx B/H-pol sibling",,coherence.c,coherence.json
"CORR_V11_V11_V2_F (dsmGetElement, coherence.c:178, from the same LAST_SCAN_VISIBILITES_X structure, label ""Coherence"" at :155)",DSM:hcn:LAST_SCAN_VISIBILITES_X:CORR_V11_V11_V2_F,HIGH,"Corrected from NO MATCH: coherence.c:178 directly reads this field for its ""Coherence""-labeled column. CORR_H_V11_V11_V2_F is the Rx B/H-pol sibling",,coherence.c,coherence.json
(no C-code read found — placeholder DSM_BASELINE_M was invented),(no match found),NO MATCH,"Reconfirmed: no baseline-length-in-meters field exists live. The only live ""BASELINE""-named field is DSM:phasemon:PHASEMON_HRDWR_STAT_X:BASELINES_V10_V3_B, which is a per-baseline hardware-status bitmap, not a physical length — not a match",,coherence.c,coherence.json
(no C-code read found in coherence.c — placeholder DSM_COHERENCE_INTEG was invented),DSM:hal9000:SCAN_LENGTH_F,LOW,"coherence.c itself reads no integration-time field. DSM:hal9000:SCAN_LENGTH_F (also live under obscon/oldhal/tenzing) is a plausible candidate for scan integration length in seconds, but it's from the scan-scheduling subsystem (arrayMonitor.c/hal9000), not something coherence.c reads — flagged as a guess, not a C-code-verified match",,coherence.c,coherence.json
(no C-code read found — placeholder DSM_FRINGE_TIMESTAMP was invented),(no match found),NO MATCH,"Reconfirmed: no field-level timestamp exists inside LAST_SCAN_VISIBILITES_X live. coherence.c:123's dsmRead(...,&t) captures the SMAX structure's own fetch timestamp as a local variable, not a distinct DSM field — that metadata may be available via the SMAX client API rather than as a named canonical point",,coherence.c,coherence.json
"(no C-code read found — placeholder DSM_ANT{ant}_IFLO_LO_LOCK was invented; no literal ""IFLO_LO_LOCK"" string exists in cursesmonitor)",antenna:{ant}:receiver:{H|L}:lo_plate:mixer:{1|2}:pll:lock,MEDIUM,"Upgraded from LOW via live dump_redis.py trace (2026-07-15, see wacko_validity_review.md): pll:lock confirmed live on antennas 1/7/8, per polarization and mixer. Held at MEDIUM because the field is indexed by polarization+mixer, not just {ant} — current display template can't address it without a schema extension Closest legacy C-code analog: RM_GUNN1_LOCKED_S / RM_YIG1_LOCKED_S / RM_YIG2_LOCKED_S / RM_GUNN2_LOCKED_S, read via rmRead(ant,...) at arrayMonitor.c:472-482 for the ""G-Y"" lock-status column (legacy Gunn-oscillator receivers only, RM:acc{ant}: prefix, no DSM node). This is a separate data path from the wSMA antenna:{ant}:receiver:...:pll:lock field proposed above — which physical path applies depends on whether the antenna carries a legacy or wSMA receiver.",,iFLOMonitor.c; iFLOMonitorPage2.c; iFLOMonitorPage3.c; iFLOMonitorPage4.c,croom_iflo.json
"(no C-code read found — placeholder DSM_ANT{ant}_IFLO_IF_POWER was invented; no literal ""IFLO_IF_POWER"" string exists in cursesmonitor)",antenna:{ant}:receiver:{H|L}:lo_plate:mixer:{1|2}:pll:BPF,MEDIUM,"Supersedes the DSM:m5:C1DC_STATUS_X guess (that's a correlator downconverter reading, not this receiver's LO chain). BPF confirmed as the live key name, matching receiverMonitor.c's own readSmaxFloat(label,BPF,...) call. Same {ant}-only template limitation as IFLO_LO_LOCK No single legacy RM_* ""IF power"" field found; the closest labeled fields are RM_MRG_RF_POWER_F (""MRG RFPwr"", iFLOMonitorPage2.c:145) and RM_CONT1/2_DET2_F (""XmitPower"", iFLOMonitorPage2.c:95,137) which are different physical quantities (MRG synth power / continuum detector power), not confirmed equivalents of ""IF Power"" — the wSMA pll:BPF field above remains the best-grounded proposal.",,iFLOMonitor.c; iFLOMonitorPage2.c; iFLOMonitorPage3.c; iFLOMonitorPage4.c,croom_iflo.json
"(no C-code read found — placeholder DSM_ANT{ant}_IFLO_LO_FREQ was invented; no literal ""IFLO_LO_FREQ"" string exists in cursesmonitor)",antenna:{ant}:receiver:{H|L}:lo_plate:mixer:{1|2}:vco:tune_freq,MEDIUM,"Upgraded from LOW: vco:tune_freq confirmed as the real live field (no bare 'frequency' key exists under lo_plate:mixer in the live DB despite smax.json listing one). Held at MEDIUM for the {ant}-only template limitation and because Hz-vs-GHz unit/scale needs confirming Closest legacy C-code analog: FREQ_V3_D under DSM:newdds:DDS_TO_HAL_X (dsm_structure_get_element, yIGFrequencies.c:64 and dDSCursesMonitor.c:203, label ""LO Frequency"") — a single array-of-3 GHz value shared across the array, not per-antenna/per-mixer like the wSMA vco:tune_freq field proposed above. Again a legacy-vs-wSMA fork, not a single answer.",,iFLOMonitor.c; iFLOMonitorPage2.c; iFLOMonitorPage3.c; iFLOMonitorPage4.c,croom_iflo.json
(no C-code read found — placeholder DSM_ANT{ant}_IFLO_TIMESTAMP was invented; no literal match in cursesmonitor),(no match found),NO MATCH,Reconfirmed against live dump_redis.py snapshot (2026-07-15): no timestamp field appears anywhere under lo_plate:mixer:* in either dump,,iFLOMonitor.c; iFLOMonitorPage2.c; iFLOMonitorPage3.c; iFLOMonitorPage4.c,croom_iflo.json
"DSM_ANTENNA5_TEMPS_X (dsm_read/dsm_structure_init, deicemon.c:161, node ""obscon"" — not ""hal9000"")",DSM:obscon:DSM_ANTENNA5_TEMPS_X:ANTENNA_THERMOMETERS_V20_F,MEDIUM,"Node corrected: deicemon.c reads this structure from node obscon (dsm_read at :161), not hal9000 — both nodes carry the same live struct shape so the field names are unaffected, but the wrong node was proposed. Also: the deice.json cell currently points at the bare struct name (DSM:hal9000:DSM_ANTENNA5_TEMPS_X) rather than a leaf field, which will not resolve to a single numeric value in DataBridge — proposing the specific leaf field ANTENNA_THERMOMETERS_V20_F (dsmGetElement, deicemon.c:166) actually read/stored by this file (though its curses display block is commented out, lines 179-203). TIME_STAMP_V9_L (:170) and ANTENNA_SURFACE_MINMAX_TEMPS_V24_F (:208, MAX T/MIN T labels, active display) are also real candidates depending on which quantity this cell is meant to show",,deicemon.c,deice.json
"GPS8_STATUS_B (dsmGetElement, gpsPage.c:74; placeholder was DSM_GPS8_LOCK_STATUS)",DSM:colossus:GPSD_REPORT_X:GPS8_STATUS_B,MEDIUM,"Also GPS8_OUT_STATUS_B, GPS8_PHASE_FREQ_STATUS_B exist — pick correct lock indicator Corrected: swapped from GPS8_CTL_STATUS_B (gpsPage.c:102, label ""Bad Control status"" — a control-fault flag, not a lock indicator) to GPS8_STATUS_B (gpsPage.c:74, label group ""Valid Time/GPS Lock/Local Time/Leap Year flags"") — a closer semantic match for ""lock status"". GPS8_STATUS_B is a multi-bit flag word, not a single lock boolean, so held at MEDIUM",,gpsPage.c,gps.json
"TT_PHASE_LOCKED_S (dsmGetElement, gpsPage.c:152; placeholder was DSM_TRUETIME_LOCK_STATUS)",DSM:colossus:GPSD_REPORT_X:TT_PHASE_LOCKED_S,HIGH,"No TrueTime-specific field found; MRG lock status is a loose proxy Corrected from wrong subsystem: the prior proposal (DSM:m5:MRG_STATUS_X:52MHZ_LOCK_S) is the LO-reference-chain PLL lock, unrelated to the TrueTime GPS clock. gpsPage.c:152 reads TT_PHASE_LOCKED_S from the same GPSD_REPORT_X structure (node colossus) as every other row in this group — a direct, live-confirmed match for ""TrueTime lock status""",,gpsPage.c,gps.json
"GPS8_AVG_PHASE_F (dsmGetElement, gpsPage.c:121)",DSM:colossus:GPSD_REPORT_X:GPS8_AVG_PHASE_F,HIGH,,x,gpsPage.c,gps.json
"GPS8_FREQ_CTLR_VALUE_F (dsmGetElement, gpsPage.c:122)",DSM:colossus:GPSD_REPORT_X:GPS8_FREQ_CTLR_VALUE_F,HIGH,,x,gpsPage.c,gps.json
"GPS8_NEXT_LEAP_SECOND_L (dsmGetElement, gpsPage.c:169)",DSM:colossus:GPSD_REPORT_X:GPS8_NEXT_LEAP_SECOND_L,HIGH,,x,gpsPage.c,gps.json
"GPS8_LAT_D (dsmGetElement, gpsPage.c:173)",DSM:colossus:GPSD_REPORT_X:GPS8_LAT_D,HIGH,,x,gpsPage.c,gps.json
"GPS8_LON_D (dsmGetElement, gpsPage.c:174)",DSM:colossus:GPSD_REPORT_X:GPS8_LON_D,HIGH,,x,gpsPage.c,gps.json
"GPS8_ALT_F (dsmGetElement, gpsPage.c:175)",DSM:colossus:GPSD_REPORT_X:GPS8_ALT_F,HIGH,,x,gpsPage.c,gps.json
"GPS8_DOP_F (dsmGetElement, gpsPage.c:176)",DSM:colossus:GPSD_REPORT_X:GPS8_DOP_F,HIGH,,x,gpsPage.c,gps.json
"GPS8_GPS_MINUS_UTC_B (dsmGetElement, gpsPage.c:148,177)",DSM:colossus:GPSD_REPORT_X:GPS8_GPS_MINUS_UTC_B,HIGH,,x,gpsPage.c,gps.json
"TT_NUM_SATS_S (dsmGetElement, gpsPage.c:184; only literal ""num sats"" field found — no separate GPS8 sat count exists)",DSM:colossus:GPSD_REPORT_X:TT_NUM_SATS_S,HIGH,,x,gpsPage.c,gps.json
"GPS8_BAD_MSGS_B (dsmGetElement, gpsPage.c:224)",DSM:colossus:GPSD_REPORT_X:GPS8_BAD_MSGS_B,HIGH,,x,gpsPage.c,gps.json
DSM_AS_PROJECT_DESCRIPTION_C256,DSM:hal9000:DSM_AS_PROJECT_DESCRIPTION_C256,HIGH,C-code verified at projectpage.c:48.,x,hangarPage.c; projectpage.c,hangar.json; project.json
DSM_AS_PROJECT_PI_C30,DSM:hal9000:DSM_AS_PROJECT_PI_C30,HIGH,C-code verified at projectpage.c:42.,x,hangarPage.c; projectpage.c,hangar.json; project.json
DSM_HANGAR_LIGHT_L,DSM:colossus:DSM_HANGAR_LIGHT_L,HIGH,C-code verified at hangarPage.c:138.,x,hangarPage.c,hangar.json
"KILOWATTS_S (dsm_structure_get_element, genset.c:85, label ""Kilowatts""; placeholder was DSM_GENSET_POWER_W)",DSM:obscon:DSM_IWATCH_DATA_X:KILOWATTS_S,HIGH,"Corrected from NO MATCH: genset.c:85 reads KILOWATTS_S from the DSM_IWATCH_DATA_X structure, node obscon (dsm_read at genset.c:41, not hal9000 — both nodes carry the same live struct). KVA_F (:87) and KILOVARS_F (:89) are the apparent/reactive-power siblings if a different unit was intended",,genset.c,misc_dsm.json
(no C-code read found — placeholder DSM_GENSET_STATUS was invented; no single composite status field exists),(no match found),NO MATCH,"Reconfirmed: DSM_IWATCH_DATA_X has no composite status field. ENGINE_DATA_S (genset.c:93, label ""Engine RPM"") is the closest engine-state proxy but is an RPM reading, not a status flag; ENGINE_STARTS_S (:95, ""#Starts"") is a start counter. Needs Marc to pick a specific field or drop this cell",,genset.c,misc_dsm.json
"IF_POWER_V3_V9_F (dsm_structure_get_element, c1DC.c:236, label ""IF Power""; placeholder was DSM_C1DC_POWER_LEVEL)",DSM:m5:C1DC_STATUS_X:IF_POWER_V3_V9_F,HIGH,"C-code verified: read at c1DC.c:236 (also read earlier for a cal-wheel-gated check at :126). Node/struct confirmed live: dsm_read(m5,C1DC_STATUS_X) at c1DC.c:117",,c1DC.c,misc_dsm.json
"OP_ALARM_V3_V9_S (dsm_structure_get_element, c1DC.c:205, label ""Op Alarm""; placeholder was DSM_C1DC_STATUS)",DSM:m5:C1DC_STATUS_X:OP_ALARM_V3_V9_S,HIGH,C-code verified: read at c1DC.c:205,,c1DC.c,misc_dsm.json
"REQ_FREQ_V2_D (dsm_structure_get_element, mRG.c:53, label ""Requested Frequency""; placeholder was DSM_YIG_FREQ_GHZ)",DSM:m5:MRG_CONTROL_X:REQ_FREQ_V2_D,HIGH,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5).",,yIGFrequencies.c,misc_dsm.json
"YIG_LOCKED_V2_S (dsm_structure_get_element, mRG.c:70, label ""Lock Status""; placeholder was DSM_YIG_LOCK_STATUS)",DSM:m5:MRG_CONTROL_X:YIG_LOCKED_V2_S,HIGH,"Corrected: the prior proposal used a ""reference:mrg:1:*"" key namespace that does NOT exist anywhere in the live dump_redis.py snapshot — it appears to have been invented rather than sourced. The real, live-confirmed structure matching mRG.c/yIGFrequencies.c is DSM:m5:MRG_CONTROL_X (node m5).",x,yIGFrequencies.c,misc_dsm.json
